"farmholding_system";"year";"farmholdings";"employees_total";"full_time_employees_75_percent_or_more";"part_time_employees_50_75_percent";"part_time_employees_2_less_than_50_percent";"employees_men";"employees_women";"employees_women_manager_label";"employees_swiss";"employees_foreign_nationals";"family_employees";"beef_cattle_and_cows_farm";"horse_and_other_equine_farm";"sheep_farm";"goat_farm";"pig_farms";"poultry_farm";"farms_with_other_animals";"utilised_agricultural_area_in_hectares";"arable_land_in_hectares";"grassland_in_hectares";"permanent_crops_in_hectares";"other_utilised_agricultural_area_in_hectares";"livestock_beef_cattle_and_cows";"livestock_horses_and_other_equines";"livestock_sheep";"livestock_goats";"livestock_pigs";"livestock_poultry";"livestock_other_animals";"spatialunit_uid"
"Farmholding system - total";"2012";"3824";"11560";"5314";"2276";"3970";"7188";"4372";"211";"10414";"1146";"8686";"2195";"840";"440";"284";"235";"936";"380";"73646.33";"28683.74";"41452.72";"1502.4";"2007.47";"94084";"7325";"18457";"2554";"41576";"420406";"6259";"1_A.ADM1"
"Organic farming";"1996";"9";"34";"18";"6";"10";"21";"13";"0";"32";"2";"23";"9";"1";"1";"2";"1";"5";"2";"186.59";"74.11";"107.34";"4.44";"0.7";"304";"1";"16";"4";"5";"480";"116";"14_A.ADM1"
"Organic farming";"2002";"113";"448";"228";"76";"144";"290";"158";"0";"334";"114";"274";"80";"33";"20";"12";"16";"32";"11";"2354.74";"494.14";"1744.69";"82.38";"33.53";"2566";"153";"1855";"176";"274";"3273";"194";"22_A.ADM1"
"Farmholding system - total";"2016";"2610";"8288";"4209";"1411";"2668";"5282";"3006";"111";"7119";"1169";"5843";"1518";"512";"309";"149";"356";"767";"398";"49306.7";"17558.34";"29084.91";"2309.55";"353.9";"73177";"4049";"17528";"1107";"183067";"1060481";"5677";"20_A.ADM1"
"Conventional farming";"2016";"287";"712";"318";"167";"227";"439";"273";"19";"704";"8";"667";"240";"33";"50";"72";"19";"76";"24";"4993.72";"45.79";"4865.71";"1.59";"80.63";"9130";"179";"2200";"679";"1848";"27604";"309";"8_A.ADM1"
"Organic farming";"2017";"88";"243";"98";"69";"76";"146";"97";"4";"241";"2";"225";"79";"11";"14";"34";"4";"27";"10";"1938.74";"1.52";"1915.97";"0.03";"21.22";"2903";"43";"682";"491";"42";"2153";"45";"8_A.ADM1"
"Organic farming";"2011";"1292";"3364";"1214";"905";"1245";"2009";"1355";"91";"3281";"83";"3083";"1033";"346";"521";"299";"64";"381";"186";"30886.49";"353.45";"30246.86";"36.88";"249.3";"37378";"1621";"34969";"6791";"971";"18909";"1545";"18_A.ADM1"
"Conventional farming";"2002";"593";"1289";"631";"327";"331";"766";"523";"0";"1284";"5";"1220";"542";"48";"141";"74";"304";"116";"38";"6990.07";"0.15";"6796.76";"0";"193.16";"14452";"120";"3214";"625";"25558";"161743";"182";"16_A.ADM1"
"Conventional farming";"2016";"1436";"3772";"1458";"927";"1387";"2419";"1353";"77";"3704";"68";"3466";"1144";"194";"347";"280";"146";"383";"155";"21265.69";"347.28";"19676.22";"94.13";"1148.06";"39301";"1219";"18257";"2623";"18521";"140273";"2221";"5_A.ADM1"
"Farmholding system - total";"2016";"715";"1604";"773";"362";"469";"992";"612";"40";"1559";"45";"1445";"585";"97";"190";"161";"124";"230";"119";"11892.06";"29.34";"11632.41";"5.61";"224.7";"22468";"441";"6406";"1040";"19038";"53193";"1201";"15_A.ADM1"
"Not defined";"2006";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0_CH"
"Organic farming";"2009";"290";"858";"318";"184";"356";"512";"346";"13";"816";"42";"722";"248";"68";"54";"50";"43";"101";"48";"4841.26";"498.53";"4225.39";"26.28";"91.06";"7982";"336";"1382";"402";"2110";"43906";"501";"3_A.ADM1"
"Not defined";"2018";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"23_A.ADM1"
"Organic farming";"2005";"321";"902";"351";"204";"347";"539";"363";"24";"853";"49";"754";"277";"81";"70";"63";"53";"130";"72";"4991.95";"474.02";"4439.83";"13.89";"64.21";"8134";"284";"1867";"623";"2956";"30952";"700";"3_A.ADM1"
"Conventional farming";"2012";"664";"1479";"691";"317";"471";"920";"559";"27";"1464";"15";"1316";"529";"107";"175";"159";"140";"228";"109";"9841.43";"30.51";"9613.76";"9.18";"187.98";"18858";"426";"6644";"1366";"20454";"28270";"1646";"15_A.ADM1"
"Conventional farming";"2005";"3920";"11776";"5559";"2287";"3930";"7222";"4554";"174";"10714";"1062";"8971";"2267";"863";"432";"317";"303";"1136";"321";"67732.83";"28768.5";"36131.55";"1275.42";"1557.36";"82105";"6187";"16664";"2069";"38221";"324770";"5426";"1_A.ADM1"
"Conventional farming";"2015";"3231";"9548";"4359";"1882";"3307";"6055";"3493";"167";"8591";"957";"7271";"1748";"701";"321";"223";"160";"807";"416";"65486.53";"26784.28";"35521.64";"1405.35";"1775.26";"86353";"6133";"11710";"1677";"38113";"424037";"8881";"1_A.ADM1"
"Not defined";"2020";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8_A.ADM1"
"Not defined";"2004";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"18_A.ADM1"
"Farmholding system - total";"2011";"3635";"10452";"4192";"2105";"4155";"6508";"3944";"186";"9668";"784";"8373";"2027";"861";"568";"204";"431";"891";"544";"61379.6829";"26388.31";"33285.6529";"1025.59";"680.13";"89123";"6215";"23454";"1974";"101586";"774567";"35483";"19_A.ADM1"
"Conventional farming";"1997";"681";NA;NA;NA;NA;NA;NA;"0";NA;NA;NA;"620";"41";"144";"69";"376";"150";"23";"7359.35";"0.95";"7142.94";"0";"215.46";"14889";"91";"3422";"587";"26647";"152033";"691";"16_A.ADM1"
"Farmholding system - total";"2007";"616";"1786";"896";"346";"544";"1168";"618";"28";"1689";"97";"1475";"493";"146";"114";"92";"90";"218";"101";"10821.33";"1318.03";"8738.42";"126.01";"638.87";"19867";"855";"4347";"956";"22834";"56644";"1139";"9_A.ADM1"
"Farmholding system - total";"2012";"3594";"10418";"4190";"2124";"4104";"6469";"3949";"189";"9555";"863";"8228";"1987";"848";"551";"185";"429";"887";"504";"61300.7302";"26285.37";"33323.0502";"1008.42";"683.89";"86455";"6326";"23740";"2005";"102111";"889202";"30727";"19_A.ADM1"
"Organic farming";"2015";"128";"360";"185";"74";"101";"232";"128";"2";"345";"15";"299";"109";"55";"32";"26";"7";"44";"25";"4860.2178";"1059.92";"3719.5714";"12.53";"68.1964";"5478";"419";"1493";"187";"422";"36773";"449";"26_A.ADM1"
"Organic farming";"2009";"151";"399";"113";"125";"161";"248";"151";"10";"399";"0";"378";"137";"31";"36";"23";"16";"51";"21";"2532.58";"4.72";"2356.04";"2.4";"169.42";"3787";"106";"1951";"356";"175";"6146";"250";"5_A.ADM1"
"Not defined";"2017";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"21_A.ADM1"
"Not defined";"2016";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"12_A.ADM1"
"Conventional farming";"2005";"654";"1839";"766";"401";"672";"1091";"748";"41";"1706";"133";"1495";"256";"92";"68";"22";"87";"148";"48";"14835.46";"9677.07";"4628.38";"441.88";"88.13";"14008";"534";"2718";"143";"18284";"171099";"1082";"14_A.ADM1"
